temp,hour,minute
28.2,0,0
28.2,0,1
28.2,0,2
28.2,0,3
28.1,0,4
28.2,0,5
28.1,0,6
28.1,0,7
28.2,0,8
28.1,0,9
28.1,0,10
28.1,0,11
28.1,0,12
28.2,0,13
28.1,0,14
28.1,0,15
28.1,0,16
28.1,0,17
28.1,0,18
28.1,0,19
28.1,0,20
28.1,0,21
28.1,0,22
28.1,0,23
28.1,0,24
28.1,0,25
28.1,0,26
28.1,0,27
28.1,0,28
28.1,0,29
28.1,0,30
28.1,0,31
28.1,0,32
28.1,0,33
28.1,0,34
28.1,0,35
28.1,0,36
28.1,0,37
28.1,0,38
28.1,0,39
28.1,0,40
28.1,0,41
28.1,0,42
28.1,0,43
28.1,0,44
28.1,0,45
28.1,0,46
28,0,47
28.1,0,48
28.1,0,49
28,0,50
28,0,51
28,0,52
28,0,53
28,0,54
28,0,55
28,0,56
28,0,57
28,0,58
28,0,59
28,1,0
28,1,1
28,1,2
28,1,3
28,1,4
28,1,5
28,1,6
28,1,7
28,1,8
28,1,9
28,1,10
28,1,11
28,1,12
28,1,13
28,1,14
28,1,15
28,1,16
28,1,17
28,1,18
28,1,19
28,1,20
28,1,21
28,1,22
28,1,23
28,1,24
28,1,25
28,1,26
28,1,27
28,1,28
28,1,29
28,1,30
28,1,31
28,1,32
28,1,33
28,1,34
28,1,35
27.9,1,36
27.9,1,37
27.9,1,38
28,1,39
27.9,1,40
27.9,1,41
27.9,1,42
27.9,1,43
27.9,1,44
27.9,1,45
27.9,1,46
27.9,1,47
27.9,1,48
27.9,1,49
27.9,1,50
27.9,1,51
27.9,1,52
27.9,1,53
27.9,1,54
27.9,1,55
27.9,1,56
27.9,1,57
27.9,1,58
27.9,1,59
27.9,2,0
27.9,2,1
27.9,2,2
27.9,2,3
27.9,2,4
27.9,2,5
27.9,2,6
27.9,2,7
27.9,2,8
27.9,2,9
27.9,2,10
27.9,2,11
27.9,2,12
27.9,2,13
27.9,2,14
27.9,2,15
27.9,2,16
27.8,2,17
27.9,2,18
27.9,2,19
27.8,2,20
27.8,2,21
27.8,2,22
27.9,2,23
27.8,2,24
27.8,2,25
27.9,2,26
27.8,2,27
27.8,2,28
27.9,2,29
27.9,2,30
27.8,2,31
27.8,2,32
27.9,2,33
27.8,2,34
27.8,2,35
27.8,2,36
27.8,2,37
27.8,2,38
27.8,2,39
27.8,2,40
27.8,2,41
27.8,2,42
27.8,2,43
27.8,2,44
27.8,2,45
27.8,2,46
27.8,2,47
27.8,2,48
27.8,2,49
27.8,2,50
27.8,2,51
27.8,2,52
27.8,2,53
27.8,2,54
27.8,2,55
27.8,2,56
27.8,2,57
27.8,2,58
27.8,2,59
27.8,3,0
27.8,3,1
27.7,3,2
27.8,3,3
27.8,3,4
27.8,3,5
27.8,3,6
27.8,3,7
27.8,3,8
27.7,3,9
27.8,3,10
27.8,3,11
27.8,3,12
27.8,3,13
27.7,3,14
27.7,3,15
27.7,3,16
27.7,3,17
27.7,3,18
27.8,3,19
27.7,3,20
27.7,3,21
27.7,3,22
27.8,3,23
27.8,3,24
27.7,3,25
27.7,3,26
27.7,3,27
27.7,3,28
27.7,3,29
27.7,3,30
27.7,3,31
27.7,3,32
27.7,3,33
27.7,3,34
27.7,3,35
27.7,3,36
27.7,3,37
27.7,3,38
27.7,3,39
27.7,3,40
27.7,3,41
27.7,3,42
27.7,3,43
27.7,3,44
27.7,3,45
27.7,3,46
27.7,3,47
27.7,3,48
27.7,3,49
27.7,3,50
27.7,3,51
27.7,3,52
27.7,3,53
27.6,3,54
27.6,3,55
27.6,3,56
27.7,3,57
27.7,3,58
27.7,3,59
27.6,4,0
27.7,4,1
27.6,4,2
27.7,4,3
27.6,4,4
27.6,4,5
27.6,4,6
27.7,4,7
27.6,4,8
27.6,4,9
27.6,4,10
27.6,4,11
27.6,4,12
27.6,4,13
27.6,4,14
27.6,4,15
27.6,4,16
27.6,4,17
27.6,4,18
27.6,4,19
27.6,4,20
27.6,4,21
27.6,4,22
27.6,4,23
27.6,4,24
27.6,4,25
27.6,4,26
27.6,4,27
27.6,4,28
27.6,4,29
27.6,4,30
27.6,4,31
27.6,4,32
27.6,4,33
27.6,4,34
27.6,4,35
27.6,4,36
27.6,4,37
27.6,4,38
27.6,4,39
27.6,4,40
27.6,4,41
27.6,4,42
27.6,4,43
27.6,4,44
27.6,4,45
27.6,4,46
27.6,4,47
27.5,4,48
27.5,4,49
27.5,4,50
27.5,4,51
27.6,4,52
27.6,4,53
27.5,4,54
27.6,4,55
27.5,4,56
27.5,4,57
27.6,4,58
27.5,4,59
27.5,5,0
27.5,5,1
27.6,5,2
27.5,5,3
27.5,5,4
27.5,5,5
27.5,5,6
27.5,5,7
27.5,5,8
27.5,5,9
27.5,5,10
27.5,5,11
27.5,5,12
27.5,5,13
27.5,5,14
27.5,5,15
27.5,5,16
27.5,5,17
27.5,5,18
27.5,5,19
27.5,5,20
27.5,5,21
27.5,5,22
27.5,5,23
27.5,5,24
27.5,5,25
27.5,5,26
27.5,5,27
27.5,5,28
27.5,5,29
27.5,5,30
27.4,5,31
27.5,5,32
27.5,5,33
27.5,5,34
27.5,5,35
27.5,5,36
27.5,5,37
27.5,5,38
27.4,5,39
27.4,5,40
27.4,5,41
27.4,5,42
27.4,5,43
27.4,5,44
27.5,5,45
27.5,5,46
27.5,5,47
27.5,5,48
27.5,5,49
27.5,5,50
27.5,5,51
27.5,5,52
27.5,5,53
27.5,5,54
27.6,5,55
27.5,5,56
27.6,5,57
27.6,5,58
27.6,5,59
27.6,6,0
27.6,6,1
27.6,6,2
27.6,6,3
27.6,6,4
27.6,6,5
27.6,6,6
27.6,6,7
27.6,6,8
27.6,6,9
27.6,6,10
27.6,6,11
27.6,6,12
27.6,6,13
27.6,6,14
27.6,6,15
27.6,6,16
27.6,6,17
27.6,6,18
27.6,6,19
27.6,6,20
27.6,6,21
27.6,6,22
27.6,6,23
27.6,6,24
27.6,6,25
27.6,6,26
27.6,6,27
27.7,6,28
27.7,6,29
27.7,6,30
27.6,6,31
27.6,6,32
27.6,6,33
27.6,6,34
27.7,6,35
27.6,6,36
27.6,6,37
27.7,6,38
27.6,6,39
27.7,6,40
27.7,6,41
27.6,6,42
27.6,6,43
27.7,6,44
27.7,6,45
27.7,6,46
27.6,6,47
27.7,6,48
27.7,6,49
27.7,6,50
27.7,6,51
27.7,6,52
27.7,6,53
27.7,6,54
27.7,6,55
27.7,6,56
27.7,6,57
27.7,6,58
27.7,6,59
27.7,7,0
27.7,7,1
27.7,7,2
27.7,7,3
27.7,7,4
27.7,7,5
27.7,7,6
27.7,7,7
27.7,7,8
27.7,7,9
27.7,7,10
27.7,7,11
27.7,7,12
27.7,7,13
27.7,7,14
27.7,7,15
27.7,7,16
27.7,7,17
27.7,7,18
27.7,7,19
27.7,7,20
27.7,7,21
27.7,7,22
27.7,7,23
27.7,7,24
27.7,7,25
27.7,7,26
27.7,7,27
27.7,7,28
27.7,7,29
27.7,7,30
27.7,7,31
27.7,7,32
27.7,7,33
27.7,7,34
27.7,7,35
27.7,7,36
27.7,7,37
27.7,7,38
27.7,7,39
27.8,7,40
27.8,7,41
27.8,7,42
27.8,7,43
27.8,7,44
27.8,7,45
27.8,7,46
27.8,7,47
27.8,7,48
27.8,7,49
27.8,7,50
27.8,7,51
27.8,7,52
27.8,7,53
27.8,7,54
27.8,7,55
27.8,7,56
27.8,7,57
27.8,7,58
27.8,7,59
27.8,8,0
27.8,8,1
27.8,8,2
27.8,8,3
27.8,8,4
27.8,8,5
27.8,8,6
27.8,8,7
27.8,8,8
27.8,8,9
27.8,8,10
27.8,8,11
27.8,8,12
27.8,8,13
27.8,8,14
27.8,8,15
27.8,8,16
27.8,8,17
27.8,8,18
27.8,8,19
27.8,8,20
27.8,8,21
27.8,8,22
27.8,8,23
27.8,8,24
27.8,8,25
27.8,8,26
27.8,8,27
27.8,8,28
27.8,8,29
27.8,8,30
27.8,8,31
27.8,8,32
27.8,8,33
27.8,8,34
27.8,8,35
27.8,8,36
27.8,8,37
27.8,8,38
27.8,8,39
27.8,8,40
27.8,8,41
27.8,8,42
27.8,8,43
27.8,8,44
27.8,8,45
27.8,8,46
27.8,8,47
27.8,8,48
27.8,8,49
27.8,8,50
27.8,8,51
27.8,8,52
27.8,8,53
27.8,8,54
27.8,8,55
27.8,8,56
27.8,8,57
27.8,8,58
27.8,8,59
27.8,9,0
27.8,9,1
27.8,9,2
27.8,9,3
27.8,9,4
27.8,9,5
27.8,9,6
27.8,9,7
27.8,9,8
27.8,9,9
27.8,9,10
27.8,9,11
27.8,9,12
27.8,9,13
27.8,9,14
27.8,9,15
27.8,9,16
27.8,9,17
27.8,9,18
27.8,9,19
27.8,9,20
27.8,9,21
27.8,9,22
27.8,9,23
27.8,9,24
27.8,9,25
27.8,9,26
27.8,9,27
27.8,9,28
27.8,9,29
27.8,9,30
27.8,9,31
27.8,9,32
27.8,9,33
27.8,9,34
27.8,9,35
27.8,9,36
27.8,9,37
27.8,9,38
27.8,9,39
27.8,9,40
27.8,9,41
27.8,9,42
27.8,9,43
27.8,9,44
27.9,9,45
27.9,9,46
27.8,9,47
27.8,9,48
27.8,9,49
27.9,9,50
27.8,9,51
27.8,9,52
27.8,9,53
27.9,9,54
27.8,9,55
27.8,9,56
27.8,9,57
27.8,9,58
27.8,9,59
27.8,10,0
27.9,10,1
27.8,10,2
27.8,10,3
27.8,10,4
27.9,10,5
27.8,10,6
27.9,10,7
27.9,10,8
27.9,10,9
27.8,10,10
27.8,10,11
27.8,10,12
27.9,10,13
27.9,10,14
27.8,10,15
27.9,10,16
27.9,10,17
27.9,10,18
27.8,10,19
27.9,10,20
27.8,10,21
27.9,10,22
27.9,10,23
27.9,10,24
27.9,10,25
27.9,10,26
27.9,10,27
27.9,10,28
27.9,10,29
27.9,10,30
27.9,10,31
27.9,10,32
27.9,10,33
27.9,10,34
27.9,10,35
27.9,10,36
27.9,10,37
27.9,10,38
27.9,10,39
27.9,10,40
27.9,10,41
27.9,10,42
27.9,10,43
27.9,10,44
27.9,10,45
27.9,10,46
27.9,10,47
27.9,10,48
27.9,10,49
27.9,10,50
27.9,10,51
27.9,10,52
27.9,10,53
27.9,10,54
27.9,10,55
27.9,10,56
27.9,10,57
27.9,10,58
27.9,10,59
27.9,11,0
27.9,11,1
27.9,11,2
27.9,11,3
27.9,11,4
27.9,11,5
27.9,11,6
27.9,11,7
27.9,11,8
27.9,11,9
27.9,11,10
27.9,11,11
27.9,11,12
27.9,11,13
27.9,11,14
27.9,11,15
27.9,11,16
28,11,17
27.9,11,18
27.9,11,19
27.9,11,20
27.9,11,21
27.9,11,22
27.9,11,23
28,11,24
27.9,11,25
27.9,11,26
28,11,27
28,11,28
28,11,29
28,11,30
28,11,31
28,11,32
27.9,11,33
28,11,34
28,11,35
28,11,36
28,11,37
28,11,38
28,11,39
28,11,40
28,11,41
28,11,42
28,11,43
28,11,44
28,11,45
28,11,46
28,11,47
28,11,48
28,11,49
28,11,50
28,11,51
28,11,52
28,11,53
28,11,54
28,11,55
28,11,56
28,11,57
28,11,58
28,11,59
28,12,0
28,12,1
28,12,2
28,12,3
28,12,4
28,12,5
28,12,6
28,12,7
28,12,8
28,12,9
28,12,10
28,12,11
28,12,12
28,12,13
28,12,14
28,12,15
28,12,16
28,12,17
28,12,18
28,12,19
28,12,20
28,12,21
28,12,22
28,12,23
28,12,24
28,12,25
28,12,26
28,12,27
28,12,28
28,12,29
28,12,30
28,12,31
28,12,32
28,12,33
28,12,34
28.1,12,35
28.1,12,36
28,12,37
28.1,12,38
28.1,12,39
28,12,40
28.1,12,41
28.1,12,42
28.1,12,43
28.1,12,44
28.1,12,45
28.1,12,46
28.1,12,47
28.1,12,48
28.1,12,49
28.1,12,50
28.1,12,51
28.1,12,52
28.1,12,53
28.1,12,54
28.1,12,55
28.1,12,56
28.1,12,57
28.1,12,58
28.1,12,59
28.1,13,0
28.1,13,1
28.1,13,2
28.2,13,3
28.1,13,4
28.2,13,5
28.2,13,6
28.1,13,7
28.1,13,8
28.2,13,9
28.1,13,10
28.2,13,11
28.2,13,12
28.2,13,13
28.2,13,14
28.2,13,15
28.2,13,16
28.2,13,17
28.2,13,18
28.2,13,19
28.2,13,20
28.2,13,21
28.2,13,22
28.2,13,23
